题目,评委ID,阅卷量,信度,效度,公平性,区分力,评分均值,评分标准差,获奖率,公平性_raw,TOPSIS得分,排名,TOPSIS等权,排名等权,聚类,Silhouette,分层,信度_排名,效度_排名,公平性_排名,区分力_排名
C,专家C13,100,0.45933127099190585,0.6066709416097291,-1.6026539496088088,6.505774358214401,77.07,6.505774358214401,0.43,1.6026539496088088,0.30595432583514726,18,0.38903306761253736,17,2,0.37476158405631654,合格,8,5,17,19
C,专家C14,100,0.38373860027484225,0.5627755255822029,-0.5247413979122634,7.600072368076505,64.83,7.600072368076505,0.39,0.5247413979122634,0.34369097012957583,16,0.41191745823807246,15,0,0.37476158405631654,良好,15,9,12,16
C,专家C15,102,0.4439065545755685,0.5568464654649892,-0.11406610928931456,7.73340517208012,60.166666666666664,7.73340517208012,0.47058823529411764,0.11406610928931456,0.4130932371654286,13,0.5006091302450052,13,0,0.37476158405631654,良好,9,11,4,15
C,专家C16,102,0.4237023723263086,0.5495090634947715,-0.00162679882882672,10.209950028515081,58.85294117647059,10.209950028515081,0.4803921568627451,0.00162679882882672,0.4578209508820233,10,0.5195241089302366,9,0,0.37476158405631654,良好,13,13,1,12
C,专家C17,103,0.5461306607840711,0.7057087469058345,-2.023570345540714,13.417791855548359,35.89320388349515,13.417791855548359,0.44660194174757284,2.023570345540714,0.5211964820879829,7,0.555597080866344,7,1,0.37476158405631654,优秀,1,2,20,10
C,专家C18,102,0.47983763926525624,0.6086471295454348,-0.0018267208164909209,14.564869676082806,58.8921568627451,14.564869676082806,0.4019607843137255,0.0018267208164909209,0.6306594294169009,4,0.6754886670145981,1,0,0.37476158405631654,良好,5,4,2,4
C,专家C19,22,0.43567466421125667,0.5179784615547748,-0.23548872045536964,19.24655169286477,61.54545454545455,19.24655169286477,0.3181818181818182,0.23548872045536964,0.6506069415153303,2,0.5948839921067568,4,0,0.37476158405631654,良好,10,17,6,2
C,专家C20,103,0.33073643313534773,0.5136355673964575,-0.11221361452811254,6.858355781033014,60.14563106796116,6.858355781033014,0.39805825242718446,0.11221361452811254,0.3392531558168505,17,0.39270799394225003,16,0,0.37476158405631654,良好,18,18,3,17
D,专家D01,99,0.8611136263765452,0.7288830557770016,-0.5157576836446848,15.629066759819004,49.707070707070706,15.629066759819004,0.4444444444444444,0.5157576836446848,0.5537722662958502,25,0.6921373429210955,13,1,0.2501726331628677,优秀,7,29,27,34
D,专家D02,99,0.5474268583800589,0.7118227895373923,-0.07911736017568424,10.119074755669384,52.62626262626262,10.119074755669384,0.40404040404040403,0.07911736017568424,0.3484332214514911,65,0.535181090212831,49,0,0.2501726331628677,合格,55,41,6,69
D,专家D03,100,0.6303776489675513,0.714697076908591,-1.78073038545929,17.365123091991027,41.25,17.365123091991027,0.44,1.78073038545929,0.5475281699757025,29,0.5454518190761053,46,3,0.2501726331628677,良好,45,37,66,24
D,专家D04,99,0.6865501072438075,0.8173899652663299,-0.39035579143732424,19.531002408899003,50.54545454545455,19.531002408899003,0.5050505050505051,0.39035579143732424,0.7371687259183493,5,0.7794744472604821,4,1,0.2501726331628677,优秀,42,1,18,8
D,专家D05,97,0.3355606894222187,0.7328248730298341,-0.1510327279197022,21.03344436126366,54.16494845360825,21.03344436126366,0.32989690721649484,0.1510327279197022,0.702192853183831,9,0.6467309941010226,26,1,0.2501726331628677,优秀,66,28,12,3
D,专家D06,100,0.6736548429342095,0.7124746606904312,-0.6723119300572142,17.385841941073778,57.65,17.385841941073778,0.44,0.6723119300572142,0.6007185566992003,21,0.666995686015708,19,1,0.2501726331628677,优秀,43,40,33,23
D,专家D07,99,0.5247921157991992,0.7351617531000424,-0.8511699736450936,12.100015135905993,47.464646464646464,12.100015135905993,0.42424242424242425,0.8511699736450936,0.3592252093821021,64,0.5176504713881328,58,0,0.2501726331628677,合格,57,25,37,63
D,专家D08,99,0.3909309274903913,0.7587625545321264,-0.4220839810319574,12.182948839433022,50.333333333333336,12.182948839433022,0.46464646464646464,0.4220839810319574,0.3703797672762659,60,0.5269233993753727,52,0,0.2501726331628677,合格,64,13,21,62
D,专家D09,99,0.9210003552023996,0.6695287850195853,-1.082738725456363,19.283016121545966,60.39393939393939,19.283016121545966,0.45454545454545453,1.082738725456363,0.6981260873948961,10,0.6973540865911092,10,1,0.2501726331628677,优秀,2,53,45,12
D,专家D10,100,0.7528326279482529,0.6718889522310431,-0.8533607295932939,12.732929749276089,47.45,12.732929749276089,0.38,0.8533607295932939,0.3992881605551117,52,0.5563472609082608,44,0,0.2501726331628677,合格,22,51,38,55
D,专家D11,100,0.548370834293889,0.7624291865469408,-1.6805146323253837,15.898226316164957,41.92,15.898226316164957,0.43,1.6805146323253837,0.4830923195420688,39,0.5307655252925101,51,3,0.2501726331628677,良好,54,12,64,31
D,专家D12,99,0.8718599719226979,0.7574794969665976,-1.0011519522130212,14.688251084677784,59.84848484848485,14.688251084677784,0.48484848484848486,1.0011519522130212,0.5057887119492898,34,0.6461434686421311,27,3,0.2501726331628677,良好,5,15,43,40
D,专家D13,100,0.8642715188053719,0.638226018539556,-1.2602067721667638,19.46373807879668,44.73,19.46373807879668,0.38,1.2602067721667638,0.6828670764819325,11,0.6525779611407747,23,1,0.2501726331628677,优秀,6,58,54,9
D,专家D14,99,0.6656534029836407,0.5747817595405598,-0.490479186356542,13.230788715094311,56.43434343434343,13.230788715094311,0.47474747474747475,0.490479186356542,0.3915464766365848,56,0.5213653376998667,54,0,0.2501726331628677,合格,44,62,26,49
D,专家D15,99,0.4374491590611253,0.406696642137138,-0.017171847157590004,15.377353932915947,53.04040404040404,15.377353932915947,0.40404040404040403,0.017171847157590004,0.4255517303039564,47,0.4588821587788247,63,2,0.2501726331628677,需关注,62,69,2,35
D,专家D16,99,0.7137184591344655,0.72575606362141,-0.13089303761736526,12.500064278989916,54.03030303030303,12.500064278989916,0.42424242424242425,0.13089303761736526,0.4283844088260558,46,0.6136501611776218,33,0,0.2501726331628677,合格,26,31,11,59
D,专家D17,98,0.4634042631305608,0.4813390497299347,-2.5507402461972672,11.44863399383807,36.10204081632653,11.44863399383807,0.47959183673469385,2.5507402461972672,0.1700278388046595,69,0.20857225072811655,69,2,0.2501726331628677,需关注,60,67,69,65
D,专家D18,98,0.8534552058832287,0.6107287723977116,-0.08515079343501462,14.212512891775171,53.724489795918366,14.212512891775171,0.4387755102040816,0.08515079343501462,0.4831712618736668,38,0.6246035162424186,30,0,0.2501726331628677,合格,9,61,8,43
D,专家D19,98,0.7921994027667745,0.7464252726191521,-0.2606733583207779,14.703525743999515,54.89795918367347,14.703525743999515,0.45918367346938777,0.2606733583207779,0.5173776715996304,31,0.6791123614785273,18,0,0.2501726331628677,合格,20,20,15,39
D,专家D20,99,0.5821894185003792,0.6999661885786855,-1.6296722794209946,11.379916508697415,64.05050505050505,11.379916508697415,0.46464646464646464,1.6296722794209946,0.3056919956184058,66,0.44126698574501616,65,3,0.2501726331628677,良好,50,45,62,66
D,专家D21,99,0.8384367735758813,0.7417005959355867,-0.884815257032699,14.004510474895763,59.07070707070707,14.004510474895763,0.48484848484848486,0.884815257032699,0.47473551205514275,40,0.6290258495659837,29,3,0.2501726331628677,良好,12,21,39,44
D,专家D22,99,0.697897139744041,0.7702842344563082,-1.6402483426192058,14.252607578025378,64.12121212121212,14.252607578025378,0.43434343434343436,1.6402483426192058,0.4424339698962073,44,0.5495795578482087,45,3,0.2501726331628677,良好,35,10,63,42
D,专家D23,100,0.2720860002462322,0.49487562484560205,-0.07855833969234932,11.089323694436915,52.63,11.089323694436915,0.38,0.07855833969234932,0.2816811675919151,67,0.40500073080501275,67,2,0.2501726331628677,需关注,67,65,5,68
D,专家D24,99,0.697897139744041,0.6968996896274366,-0.4810077617077055,19.379161036045225,49.93939393939394,19.379161036045225,0.40404040404040403,0.4810077617077055,0.7063265798819597,8,0.7233746403000691,8,1,0.2501726331628677,优秀,35,46,24,11
D,专家D25,99,0.7885577248151107,0.7026555029634957,-0.8470436027533736,17.81462549543772,58.81818181818182,17.81462549543772,0.42424242424242425,0.8470436027533736,0.6305532042155345,17,0.6871866004367415,15,1,0.2501726331628677,优秀,21,44,36,19
